month,total_rainfall,no_of_rainy_days,mean_sunshine_hrs,date,year,condition
Mar,55.6,8,7.6,2002-03-01,2002,not conducive
Apr,116.5,13,6.6,2002-04-01,2002,conducive
May,236.6,13,6.2,2002-05-01,2002,conducive
Jun,83.1,12,6.3,2002-06-01,2002,not conducive
Jul,233.7,11,6.8,2002-07-01,2002,conducive
Aug,54.2,14,6.7,2002-08-01,2002,not conducive
Sep,124.2,9,5.5,2002-09-01,2002,not conducive
Oct,10.8,7,6.2,2002-10-01,2002,not conducive
Nov,307.2,15,4.6,2002-11-01,2002,not conducive
Dec,255.0,24,4.8,2002-12-01,2002,not conducive
Jan,444.2,20,4.7,2003-01-01,2003,not conducive
Feb,172.9,13,5.8,2003-02-01,2003,not conducive
Mar,154.6,11,6.9,2003-03-01,2003,conducive
Apr,159.9,20,5.1,2003-04-01,2003,not conducive
May,81.8,11,5.8,2003-05-01,2003,not conducive
Jun,50.3,12,7.0,2003-06-01,2003,not conducive
Jul,170.4,14,5.6,2003-07-01,2003,not conducive
Aug,193.6,13,6.1,2003-08-01,2003,conducive
Sep,205.3,15,5.0,2003-09-01,2003,not conducive
Oct,351.4,21,5.1,2003-10-01,2003,not conducive
Nov,133.8,19,4.2,2003-11-01,2003,not conducive
Dec,273.0,17,3.9,2003-12-01,2003,not conducive
Jan,600.9,13,6.7,2004-01-01,2004,conducive
Feb,31.9,4,7.7,2004-02-01,2004,not conducive
Mar,269.4,16,4.8,2004-03-01,2004,not conducive
Apr,57.1,9,7.0,2004-04-01,2004,not conducive
May,137.6,13,6.0,2004-05-01,2004,conducive
Jun,127.2,8,6.3,2004-06-01,2004,conducive
Jul,166.6,20,4.2,2004-07-01,2004,not conducive
Aug,185.2,8,7.3,2004-08-01,2004,conducive
Sep,128.9,14,5.9,2004-09-01,2004,not conducive
Oct,125.6,13,5.0,2004-10-01,2004,not conducive
Nov,166.2,15,5.8,2004-11-01,2004,not conducive
Dec,139.8,14,4.9,2004-12-01,2004,not conducive
Jan,163.2,8,6.5,2005-01-01,2005,conducive
Feb,8.4,3,9.1,2005-02-01,2005,not conducive
Mar,82.4,12,7.2,2005-03-01,2005,not conducive
Apr,81.7,10,7.0,2005-04-01,2005,not conducive
May,331.1,20,5.5,2005-05-01,2005,not conducive
Jun,82.3,15,5.4,2005-06-01,2005,not conducive
Jul,104.0,15,5.4,2005-07-01,2005,not conducive
Aug,58.5,13,6.5,2005-08-01,2005,not conducive
Sep,175.7,18,6.2,2005-09-01,2005,conducive
Oct,314.5,19,5.1,2005-10-01,2005,not conducive
Nov,362.9,23,4.4,2005-11-01,2005,not conducive
Dec,166.0,19,4.5,2005-12-01,2005,not conducive
Jan,454.4,20,4.8,2006-01-01,2006,not conducive
Feb,115.5,8,7.4,2006-02-01,2006,conducive
Mar,83.1,9,7.1,2006-03-01,2006,not conducive
Apr,239.8,18,5.3,2006-04-01,2006,not conducive
May,205.7,14,5.0,2006-05-01,2006,not conducive
Jun,236.8,16,5.5,2006-06-01,2006,not conducive
Jul,153.8,15,6.9,2006-07-01,2006,conducive
Aug,127.3,14,6.7,2006-08-01,2006,conducive
Sep,83.3,12,5.3,2006-09-01,2006,not conducive
Oct,102.0,8,4.8,2006-10-01,2006,not conducive
Nov,185.6,18,5.6,2006-11-01,2006,not conducive
Dec,765.9,22,3.2,2006-12-01,2006,not conducive
Jan,450.1,20,4.1,2007-01-01,2007,not conducive
Feb,105.5,3,7.6,2007-02-01,2007,conducive
Mar,269.1,21,5.8,2007-03-01,2007,not conducive
Apr,240.2,14,5.9,2007-04-01,2007,not conducive
May,127.2,16,5.5,2007-05-01,2007,not conducive
Jun,139.0,12,6.0,2007-06-01,2007,conducive
Jul,141.7,19,3.8,2007-07-01,2007,not conducive
Aug,190.7,20,5.7,2007-08-01,2007,not conducive
Sep,149.0,13,5.8,2007-09-01,2007,not conducive
Oct,237.2,16,5.6,2007-10-01,2007,not conducive
Nov,367.9,21,3.5,2007-11-01,2007,not conducive
Dec,468.6,20,4.5,2007-12-01,2007,not conducive
Jan,262.6,19,6.1,2008-01-01,2008,conducive
Feb,129.2,8,5.5,2008-02-01,2008,not conducive
Mar,294.1,16,4.3,2008-03-01,2008,not conducive
Apr,87.2,13,6.0,2008-04-01,2008,not conducive
May,124.9,11,6.6,2008-05-01,2008,conducive
Jun,118.3,12,5.6,2008-06-01,2008,not conducive
Jul,89.1,15,4.9,2008-07-01,2008,not conducive
Aug,327.3,18,5.5,2008-08-01,2008,not conducive
Sep,164.4,18,5.1,2008-09-01,2008,not conducive
Oct,159.5,19,4.5,2008-10-01,2008,not conducive
Nov,324.3,16,4.0,2008-11-01,2008,not conducive
Dec,244.2,17,4.8,2008-12-01,2008,not conducive
Jan,38.3,5,6.6,2009-01-01,2009,not conducive
Feb,201.8,8,6.4,2009-02-01,2009,conducive
Mar,223.3,19,5.5,2009-03-01,2009,not conducive
Apr,183.7,12,6.2,2009-04-01,2009,conducive
May,198.6,17,6.6,2009-05-01,2009,conducive
Jun,21.8,8,7.0,2009-06-01,2009,not conducive
Jul,161.0,16,6.2,2009-07-01,2009,conducive
Aug,177.8,12,6.5,2009-08-01,2009,conducive
Sep,109.6,13,5.6,2009-09-01,2009,not conducive
Oct,133.4,15,5.4,2009-10-01,2009,not conducive
Nov,281.8,23,4.7,2009-11-01,2009,not conducive
Dec,189.8,18,4.7,2009-12-01,2009,not conducive
Jan,69.5,10,7.1,2010-01-01,2010,not conducive
Feb,6.3,4,8.8,2010-02-01,2010,not conducive
Mar,238.0,11,6.1,2010-03-01,2010,conducive
Apr,158.5,18,6.2,2010-04-01,2010,conducive
May,157.5,17,6.5,2010-05-01,2010,conducive
Jun,240.5,19,5.1,2010-06-01,2010,not conducive
Jul,298.5,18,4.6,2010-07-01,2010,not conducive
Aug,158.4,16,5.4,2010-08-01,2010,not conducive
Sep,121.5,13,5.7,2010-09-01,2010,not conducive
Oct,166.2,17,4.2,2010-10-01,2010,not conducive
Nov,278.8,21,5.0,2010-11-01,2010,not conducive
Dec,181.4,14,3.6,2010-12-01,2010,not conducive
Jan,513.2,17,4.5,2011-01-01,2011,not conducive
Feb,23.0,8,7.5,2011-02-01,2011,not conducive
Mar,256.6,22,4.6,2011-03-01,2011,not conducive
Apr,217.8,12,7.2,2011-04-01,2011,conducive
May,127.0,15,5.9,2011-05-01,2011,not conducive
Jun,213.0,15,5.0,2011-06-01,2011,not conducive
Jul,76.6,7,7.8,2011-07-01,2011,not conducive
Aug,81.4,13,6.1,2011-08-01,2011,not conducive
Sep,136.4,14,5.1,2011-09-01,2011,not conducive
Oct,216.8,20,5.3,2011-10-01,2011,not conducive
Nov,377.8,24,4.6,2011-11-01,2011,not conducive
Dec,284.6,21,3.3,2011-12-01,2011,not conducive
Jan,106.1,16,6.0,2012-01-01,2012,conducive
Feb,83.6,11,7.0,2012-02-01,2012,not conducive
Mar,313.4,21,4.2,2012-03-01,2012,not conducive
Apr,260.6,20,5.8,2012-04-01,2012,not conducive
May,292.0,19,5.6,2012-05-01,2012,not conducive
Jun,53.0,8,6.0,2012-06-01,2012,not conducive
Jul,130.8,17,6.2,2012-07-01,2012,conducive
Aug,119.0,12,6.1,2012-08-01,2012,conducive
Sep,107.6,10,5.6,2012-09-01,2012,not conducive
Oct,122.2,13,5.9,2012-10-01,2012,not conducive
Nov,208.2,22,4.4,2012-11-01,2012,not conducive
Dec,363.4,22,3.6,2012-12-01,2012,not conducive
Jan,262.0,15,6.0,2013-01-01,2013,conducive
Feb,395.2,22,4.0,2013-02-01,2013,not conducive
Mar,85.8,10,7.5,2013-03-01,2013,not conducive
Apr,159.4,19,5.2,2013-04-01,2013,not conducive
May,211.4,17,5.4,2013-05-01,2013,not conducive
Jun,111.4,12,6.4,2013-06-01,2013,conducive
Jul,174.6,15,5.7,2013-07-01,2013,not conducive
Aug,165.6,15,6.1,2013-08-01,2013,conducive
Sep,257.0,19,4.6,2013-09-01,2013,not conducive
Oct,285.4,19,6.3,2013-10-01,2013,conducive
Nov,292.4,22,4.5,2013-11-01,2013,not conducive
Dec,348.2,21,3.5,2013-12-01,2013,not conducive
Jan,75.4,5,5.3,2014-01-01,2014,not conducive
Feb,0.2,1,8.8,2014-02-01,2014,not conducive
Mar,66.0,6,8.0,2014-03-01,2014,not conducive
Apr,110.0,17,5.7,2014-04-01,2014,not conducive
May,125.8,18,5.8,2014-05-01,2014,not conducive
Jun,71.4,11,6.0,2014-06-01,2014,not conducive
Jul,148.6,15,5.5,2014-07-01,2014,not conducive
Aug,241.0,20,4.5,2014-08-01,2014,not conducive
Sep,83.6,9,7.0,2014-09-01,2014,not conducive
Oct,120.0,10,6.0,2014-10-01,2014,conducive
Nov,250.8,23,5.4,2014-11-01,2014,not conducive
Dec,245.6,17,3.7,2014-12-01,2014,not conducive
Jan,79.6,6,7.4,2015-01-01,2015,not conducive
Feb,18.8,6,7.3,2015-02-01,2015,not conducive
Mar,84.4,5,7.3,2015-03-01,2015,not conducive
Apr,73.2,13,7.2,2015-04-01,2015,not conducive
May,89.0,12,5.8,2015-05-01,2015,not conducive
Jun,95.8,10,6.7,2015-06-01,2015,not conducive
Jul,116.8,13,7.1,2015-07-01,2015,conducive
Aug,185.8,11,6.1,2015-08-01,2015,conducive
Sep,61.6,8,4.3,2015-09-01,2015,not conducive
Oct,87.2,9,4.7,2015-10-01,2015,not conducive
Nov,72.6,13,4.8,2015-11-01,2015,not conducive
Dec,302.3,19,5.3,2015-12-01,2015,not conducive
Jan,126.6,15,7.2,2016-01-01,2016,conducive
Feb,186.0,10,6.5,2016-02-01,2016,conducive
Mar,6.2,6,8.0,2016-03-01,2016,not conducive
Apr,89.8,14,7.0,2016-04-01,2016,not conducive
May,193.8,12,6.2,2016-05-01,2016,conducive
Jun,162.8,13,5.4,2016-06-01,2016,not conducive
Jul,168.6,20,6.3,2016-07-01,2016,conducive
Aug,139.2,15,6.7,2016-08-01,2016,conducive
Sep,118.9,15,5.5,2016-09-01,2016,not conducive
Oct,181.0,16,4.6,2016-10-01,2016,not conducive
Nov,290.2,20,3.5,2016-11-01,2016,not conducive
Dec,292.6,23,5.1,2016-12-01,2016,not conducive
Jan,197.6,21,4.8,2017-01-01,2017,not conducive
Feb,158.4,15,7.1,2017-02-01,2017,conducive
Mar,136.2,11,6.1,2017-03-01,2017,conducive
Apr,208.6,21,5.3,2017-04-01,2017,not conducive
May,190.0,15,5.9,2017-05-01,2017,not conducive
Jun,106.0,10,6.3,2017-06-01,2017,conducive
Jul,79.6,9,7.0,2017-07-01,2017,not conducive
Aug,84.2,18,6.1,2017-08-01,2017,not conducive
Sep,124.4,19,5.7,2017-09-01,2017,not conducive
Oct,120.8,18,5.5,2017-10-01,2017,not conducive
Nov,268.6,24,4.2,2017-11-01,2017,not conducive
Dec,371.2,23,5.6,2017-12-01,2017,not conducive
Jan,287.0,25,4.1,2018-01-01,2018,not conducive
Feb,14.8,5,8.0,2018-02-01,2018,not conducive
Mar,44.6,10,6.4,2018-03-01,2018,not conducive
Apr,61.2,14,6.8,2018-04-01,2018,not conducive
May,132.2,19,5.8,2018-05-01,2018,not conducive
Jun,182.6,17,4.1,2018-06-01,2018,not conducive
Jul,143.2,10,6.1,2018-07-01,2018,conducive
Aug,121.6,11,6.7,2018-08-01,2018,conducive
Sep,144.4,13,6.0,2018-09-01,2018,conducive
Oct,234.4,18,6.1,2018-10-01,2018,conducive
Nov,169.6,27,3.8,2018-11-01,2018,not conducive
Dec,172.6,19,5.1,2018-12-01,2018,not conducive
Jan,63.6,9,7.1,2019-01-01,2019,not conducive
Feb,31.6,5,9.2,2019-02-01,2019,not conducive
Mar,72.2,6,8.3,2019-03-01,2019,not conducive
Apr,174.8,9,5.9,2019-04-01,2019,not conducive
May,69.0,13,7.0,2019-05-01,2019,not conducive
Jun,173.8,16,5.3,2019-06-01,2019,not conducive
Jul,12.2,8,7.5,2019-07-01,2019,not conducive
Aug,11.8,6,7.6,2019-08-01,2019,not conducive
Sep,22.8,4,6.7,2019-09-01,2019,not conducive
Oct,176.8,15,6.5,2019-10-01,2019,conducive
Nov,137.4,15,5.5,2019-11-01,2019,not conducive
Dec,421.5,14,4.8,2019-12-01,2019,not conducive
Jan,88.4,6,7.1,2020-01-01,2020,not conducive
Feb,65.0,8,8.3,2020-02-01,2020,not conducive
Mar,108.8,8,7.6,2020-03-01,2020,conducive
Apr,188.0,12,7.1,2020-04-01,2020,conducive
May,255.6,16,5.7,2020-05-01,2020,not conducive
Jun,233.8,21,4.3,2020-06-01,2020,not conducive
Jul,140.8,22,5.7,2020-07-01,2020,not conducive
Aug,103.4,12,6.4,2020-08-01,2020,conducive
Sep,150.2,18,4.8,2020-09-01,2020,not conducive
Oct,78.8,16,4.3,2020-10-01,2020,not conducive
Nov,220.6,19,4.0,2020-11-01,2020,not conducive
Dec,253.2,20,5.2,2020-12-01,2020,not conducive
Jan,692.8,17,4.2,2021-01-01,2021,not conducive
Feb,1.0,2,8.2,2021-02-01,2021,not conducive
Mar,182.4,14,7.3,2021-03-01,2021,conducive
Apr,290.4,14,6.8,2021-04-01,2021,conducive
May,245.8,13,6.0,2021-05-01,2021,conducive
Jun,93.4,20,6.5,2021-06-01,2021,not conducive
Jul,195.8,12,6.8,2021-07-01,2021,conducive
Aug,293.6,24,4.8,2021-08-01,2021,not conducive
Sep,205.4,14,6.4,2021-09-01,2021,conducive
Oct,177.0,14,6.2,2021-10-01,2021,conducive
Nov,312.4,23,4.9,2021-11-01,2021,not conducive
Dec,119.6,15,5.4,2021-12-01,2021,not conducive
Jan,99.8,9,8.3,2022-01-01,2022,not conducive
Feb,175.0,16,5.9,2022-02-01,2022,not conducive
Mar,163.2,21,6.4,2022-03-01,2022,conducive
Apr,239.6,18,5.2,2022-04-01,2022,not conducive
May,102.0,12,6.7,2022-05-01,2022,conducive
Jun,211.8,17,4.7,2022-06-01,2022,not conducive
Jul,145.2,16,6.2,2022-07-01,2022,conducive
Aug,141.4,15,5.5,2022-08-01,2022,not conducive
